incentive,smv,no_of_workers,over_time,targeted_productivity,actual_productivity
0,4.15,12,1440,0.7,0.928680556
88,22.52,56,6720,0.8,0.9008
88,22.52,56.5,6780,0.8,0.900135693
88,22.52,56,6720,0.8,0.900129762
0,3.94,10,1200,0.8,0.893066667
0,4.08,9,1080,0.8,0.891555556
0,3.94,18,2160,0.8,0.875555556
0,4.15,15,1800,0.7,0.840888889
63,15.26,34,2880,0.8,0.800355208
50,29.12,58,6960,0.8,0.799963218
34,18.79,33,3960,0.75,0.75065101
45,10.05,27,3240,0.75,0.750027778
0,30.1,58.5,7020,0.7,0.700618234
0,2.9,8,960,0.75,0.610208333
0,3.94,8,960,0.8,0.607416667
44,30.1,56.5,6780,0.65,0.568259587
0,24.26,58,6960,0.7,0.355534483
0,24.26,57,6840,0.7,0.353259649
0,3.94,18,2160,0.8,1.057962963
0,3.94,10,1200,0.8,0.962016667
88,22.52,56,120,0.8,0.9008
70,22.52,57,3600,0.8,0.900509044
70,22.52,57,360,0.8,0.900477825
0,2.9,8,960,0.75,0.888125
63,15.26,34,4080,0.8,0.800401961
50,22.52,57,5400,0.8,0.800161172
50,29.12,58,6960,0.8,0.799963218
50,30.1,57,3300,0.7,0.790003236
45,10.05,54,0,0.75,0.750648148
0,4.15,15,1800,0.35,0.707111111
40,30.1,58,7020,0.7,0.700618234
0,3.94,8,960,0.8,0.697708333
0,18.79,34,4080,0.75,0.612517157
0,30.1,58,6960,0.35,0.350301724
0,30.1,58,6960,0.35,0.350301724
0,4.08,9,1080,0.8,0.272
0,4.08,9,1080,0.8,1.004888889
0,3.94,18,2160,0.8,0.966759259
88,22.52,56,0,0.8,0.90063244
88,22.52,57,0,0.8,0.90047076
88,22.52,57,0,0.8,0.90047076
88,22.52,57,0,0.8,0.899984058
0,3.94,12,1440,0.8,0.853666667
38,29.12,58,2160,0.8,0.8008
50,15.26,34,4080,0.8,0.800401961
0,4.15,15,1800,0.7,0.796755556
0,18.79,34,2400,0.75,0.750797009
34,10.05,54,3240,0.8,0.750648148
45,30.1,58,7020,0.75,0.750356125
0,4.15,8,960,0.35,0.703770833
40,30.1,58,7020,0.7,0.700618234
0,3.94,8,960,0.8,0.6895
0,2.9,8,960,0.75,0.628333333
23,30.1,58,6960,0.5,0.500801724
30,30.1,58,6960,0.5,0.393548851
0,4.15,15,1800,0.7,1.033155556
0,4.08,9,1080,0.8,1.02
90,22.52,57.5,0,0.8,1.000344928
113,22.52,57,0,0.8,1.000065789
0,4.15,12,1440,0.35,0.994375
0,3.94,18,2160,0.8,0.912037037
0,4.15,2,240,0.7,0.87
75,22.52,56,0,0.8,0.850364583
38,18.79,34,3480,0.8,0.800947475
50,15.26,34,4080,0.8,0.800401961
50,29.12,58,3240,0.8,0.800144144
56,30.1,59.5,7380,0.75,0.750406233
30,30.1,58,4560,0.6,0.714410494
40,30.1,59.5,5940,0.7,0.700588406
0,3.94,12,1440,0.8,0.618361111
23,30.1,58,3360,0.6,0.600070513
0,3.94,8,960,0.8,0.54175
0,22.52,57,6840,0.8,0.536901754
0,11.41,52,3240,0.35,0.507903226
138,22.52,57,0,0.8,1.100483918
0,4.15,15,1800,0.7,1.096633333
113,22.52,57.5,0,0.8,1.000344928
0,4.08,9,1080,0.8,0.838666667
50,15.26,34,4080,0.8,0.800401961
0,4.15,12,1440,0.35,0.755486111
56,30.1,59,7080,0.75,0.750799435
0,18.79,33,3960,0.8,0.688017677
0,3.94,12,1440,0.8,0.664875
0,3.94,8,960,0.8,0.656666667
0,30.1,59,7080,0.7,0.637711864
0,3.94,18,2160,0.8,0.601944444
0,4.15,2,240,0.7,0.58
0,30.1,59,7080,0.65,0.535677966
0,11.41,55,2280,0.5,0.50012336
0,29.12,58,6960,0.8,0.497885057
0,30.1,59,7080,0.65,0.463403955
0,22.52,50,6000,0.8,0.441392
0,30.1,58,6960,0.35,0.350301724
113,22.52,57,6840,0.8,1.000230409
0,4.15,15,1800,0.7,0.929277778
0,4.15,20,2400,0.75,0.902916667
0,4.08,9,1080,0.8,0.800888889
63,15.26,34,4080,0.8,0.800401961
63,22.52,57,3660,0.8,0.80037492
0,3.94,12,1440,0.8,0.796208333
0,30.1,59,7140,0.75,0.750392157
56,30.1,59,7140,0.75,0.750392157
0,4.15,8,960,0.7,0.725625
0,30.1,60,5160,0.7,0.700206125
0,30.1,60,7200,0.7,0.602
23,11.41,55,2280,0.6,0.600447507
0,18.79,34,4080,0.8,0.557252451
30,30.1,58,6960,0.5,0.500801724
0,2.9,8,960,0.8,0.483333333
0,3.94,8,960,0.8,0.238041667
0,3.94,8,960,0.8,1.1204375
0,3.94,8,960,0.8,1.108125
113,22.52,57,6840,0.8,1.000230409
0,4.08,9,1080,0.8,0.876444444
50,15.26,34,1440,0.8,0.800806306
0,4.15,2,240,0.75,0.760833333
0,30.1,59.5,7140,0.8,0.722568627
0,2.9,10,1200,0.6,0.715333333
0,30.1,59,7080,0.7,0.700632768
40,30.1,59,5880,0.7,0.700573099
0,18.79,34,4080,0.75,0.681598039
23,11.41,53,2640,0.65,0.650223718
0,4.15,8,960,0.7,0.605208333
0,2.9,8,960,0.8,0.604166667
0,30.1,59.5,7140,0.75,0.598627451
30,30.1,58,6960,0.6,0.475718391
0,22.52,57.5,6900,0.8,0.432122899
0,4.15,20,2400,0.75,0.287041667
0,18.79,54,5280,0.5,0.283054487
113,22.52,57,6840,0.8,1.000230409
0,3.94,10,1200,0.8,0.960433333
0,4.08,9,1080,0.8,0.891555556
0,4.15,8,960,0.5,0.864583333
63,30.1,58,600,0.65,0.802243319
0,30.1,59,0,0.8,0.800980392
38,15.26,34,3720,0.8,0.800312375
0,2.9,8,960,0.8,0.773333333
0,18.79,33,3960,0.75,0.75065101
0,30.1,58,7020,0.75,0.750356125
0,4.15,15,1800,0.75,0.722333333
30,30.1,59,600,0.7,0.700459889
0,4.15,10,1200,0.75,0.629416667
27,30.1,59,7080,0.7,0.621971751
30,11.41,54,2160,0.7,0.565972222
0,18.22,44,5280,0.6,0.35542803
0,18.79,54,5400,0.6,0.329964879
0,4.15,15,1800,0.7,0.258
113,22.52,57,6840,0.8,1.000230409
0,3.94,8,960,0.8,0.927541667
0,5.13,10,1200,0.7,0.91375
0,5.13,9,1080,0.8,0.9025
38,15.26,34,4080,0.8,0.800401961
0,5.13,15,1800,0.5,0.7866
0,18.79,33,3360,0.75,0.750621354
45,30.1,58,7020,0.75,0.750356125
0,2.9,8,960,0.8,0.749166667
30,30.1,59,840,0.7,0.700888203
30,11.41,56,3420,0.7,0.700614035
50,30.1,58,6960,0.7,0.700603448
0,5.13,8,960,0.75,0.656666667
0,30.1,59,7140,0.8,0.653431373
0,18.79,51,5520,0.65,0.650134
23,29.4,58,0,0.6,0.600982906
0,3.94,8,960,0.8,0.586041667
0,5.13,15,1800,0.8,0.5814
0,30.33,56,6720,0.5,0.361071429
0,18.22,49,0,0.65,0.302117347
0,5.13,10,1200,0.8,0.9918
0,2.9,12,1440,0.8,0.936861111
0,5.13,12,1440,0.8,0.919125
30,11.41,56,3360,0.7,0.8211125
50,30.1,58,480,0.8,0.800980392
0,30.1,59,0,0.8,0.800980392
63,15.26,34,4080,0.8,0.800401961
63,22.52,57,3960,0.8,0.800279693
34,18.79,33,3960,0.75,0.75065101
45,30.1,59,2280,0.75,0.75053268
0,5.13,8,960,0.75,0.734645833
40,30.1,58,0,0.7,0.700603448
30,18.79,51,4560,0.7,0.70009573
0,5.13,8,960,0.7,0.671875
0,3.94,8,960,0.8,0.64025
0,5.13,8,960,0.7,0.58
0,3.94,8,960,0.8,0.549791667
0,30.33,57,6840,0.6,0.328131579
0,19.68,47,5640,0.7,0.303574468
0,5.13,8,960,0.5,0.2565
0,29.4,57,4560,0.65,0.251399254
0,5.13,12,2880,0.5,0.81640625
38,15.26,34,1080,0.8,0.800711494
63,22.52,57,3840,0.8,0.800470513
63,30.1,58.5,7020,0.8,0.800094017
63,30.1,59.5,600,0.8,0.799982853
0,2.9,18,4320,0.8,0.785864198
56,18.79,33,3960,0.75,0.75065101
0,3.94,10,2400,0.8,0.733277778
0,5.13,15,3600,0.8,0.710125
50,30.1,58,6960,0.7,0.700603448
30,11.41,58,3480,0.7,0.700540441
0,29.4,57,6240,0.7,0.7
0,5.13,8,1920,0.75,0.684027778
0,5.13,8,1920,0.7,0.672135417
30,18.79,51,6120,0.7,0.638614379
0,5.13,8,1920,0.75,0.631354167
0,30.1,59,0,0.75,0.611140537
0,5.13,9,2160,0.8,0.609583333
0,30.33,57,6840,0.65,0.585315789
0,19.68,48,5760,0.7,0.249416667
0,5.13,15,1800,0.5,0.8721
0,2.9,8,960,0.8,0.8319375
0,5.13,20,4800,0.8,0.8300625
0,2.9,12,2880,0.6,0.805555556
63,15.26,34,4080,0.8,0.800401961
63,30.1,59,5820,0.8,0.80000295
0,5.13,10,2400,0.8,0.78375
0,3.94,10,2400,0.8,0.753525
45,18.79,33,3960,0.75,0.75065101
0,3.94,12,2880,0.8,0.727349537
40,29.4,57,6840,0.7,0.700614035
0,30.33,57,6840,0.7,0.700605263
0,11.41,58,3480,0.75,0.672140805
30,18.79,57,3240,0.7,0.627011183
33,30.1,58,8160,0.7,0.626577778
0,21.25,50,6000,0.7,0.456875
0,30.1,58,6960,0.75,0.393548851
0,3.94,8,960,0.8,0.385791667
0,30.1,60,5700,0.8,0.307501459
0,5.13,8,960,0.7,0.283958333
0,3.94,20,2400,0.8,0.955791667
0,5.13,8,960,0.7,0.930416667
0,5.13,9,1080,0.8,0.9025
0,5.13,18,2160,0.8,0.87115
63,15.26,34,4080,0.8,0.800401961
38,30.1,59,7140,0.8,0.800137255
38,30.1,59,7140,0.8,0.800137255
45,30.1,58,6960,0.75,0.750770115
45,18.79,33,3960,0.75,0.75065101
0,11.41,58,2820,0.75,0.750293939
30,30.33,58,2160,0.7,0.700623
40,29.4,57,6840,0.7,0.700614035
30,29.4,58,6960,0.7,0.700362069
40,18.79,50,6000,0.7,0.60128
0,21.25,50,6000,0.7,0.417916667
0,2.9,8,960,0.8,0.3715625
0,2.9,8,960,0.8,0.3715625
0,5.13,8,960,0.8,0.36871875
0,5.13,8,960,0.7,0.356458333
0,2.9,15,1800,0.7,0.902222222
0,4.6,12,1440,0.8,0.811388889
50,15.26,34,4080,0.8,0.800401961
50,30.1,60,7140,0.8,0.800137255
50,30.1,59,6480,0.8,0.800071839
0,4.6,8,960,0.7,0.791458333
45,30.1,59,5640,0.75,0.750727326
45,18.79,33,3360,0.75,0.75065101
34,11.61,57,3360,0.75,0.750437269
45,29.4,60,5340,0.75,0.750176991
0,2.9,15,1800,0.75,0.726933333
0,2.9,15,1800,0.7,0.726933333
30,30.33,59,1680,0.7,0.700623
40,29.4,58,4560,0.7,0.700518519
30,18.79,52,3000,0.7,0.700256795
0,2.9,8,960,0.7,0.5046875
0,21.25,53,6360,0.7,0.471108491
0,3.9,8,960,0.7,0.325
0,22.53,42,5040,0.6,0.268214286
56,18.79,52,6240,0.75,0.970816667
0,4.6,9,1080,0.8,0.902962963
0,4.6,20,2400,0.8,0.900833333
0,4.6,15,1800,0.8,0.899555556
0,2.9,10,1200,0.7,0.845833333
50,30.1,59,4080,0.8,0.800808642
50,15.26,34,4080,0.8,0.800401961
50,30.1,59,7080,0.8,0.800115819
45,18.79,33,3960,0.75,0.75065101
45,11.61,57,3360,0.75,0.750503571
45,29.4,58,6960,0.75,0.750206897
30,29.4,58,6960,0.7,0.700362069
30,30.33,58,3960,0.7,0.700069811
0,21.82,52,6240,0.7,0.700058333
0,4.6,8,960,0.75,0.676666667
0,4.6,8,960,0.7,0.658541667
49,30.1,59,1200,0.8,0.598792339
0,22.53,42,5040,0.65,0.581130952
0,3.9,8,960,0.7,0.440375
0,2.9,8,960,0.75,0.410833333
0,2.9,8,960,0.7,0.410833333
0,4.6,15,6300,0.8,0.921703704
0,4.6,18,7560,0.8,0.921604938
50,30.1,59,4080,0.8,0.800808642
50,11.61,57,2820,0.8,0.800516667
63,15.26,34,4080,0.8,0.800401961
0,3.94,8,3360,0.5,0.768847222
45,18.79,33,3960,0.75,0.75065101
45,29.4,57,6840,0.75,0.750473684
45,18.79,52,5640,0.75,0.750371895
56,29.4,58,6960,0.75,0.750206897
0,21.82,52,3240,0.7,0.700251773
0,30.33,58,6960,0.7,0.66237931
0,4.6,9,3780,0.8,0.590617284
0,3.9,8,960,0.7,0.5565625
32,30.1,59,7080,0.8,0.495617514
38,27.48,57,6840,0.35,0.449964912
0,2.9,8,3360,0.7,0.410833333
0,2.9,8,960,0.75,0.4078125
23,26.66,55,6600,0.35,0.378895152
0,4.6,8,3360,0.75,0.376597222
0,2.9,8,3360,0.75,0.271875
0,4.6,15,6300,0.8,0.921703704
0,4.6,18,7560,0.8,0.921604938
50,11.61,58,0,0.8,0.800779018
62,15.26,34,1700,0.8,0.800260821
38,30.1,59,840,0.8,0.799982853
0,3.94,8,3360,0.5,0.768847222
45,29.4,57,4440,0.75,0.750716981
45,18.79,33,3960,0.75,0.75065101
56,29.4,58,4560,0.75,0.750425926
45,18.79,52,6240,0.75,0.750395513
40,21.82,51,6120,0.7,0.700236601
0,30.33,58,4560,0.7,0.700211111
0,4.6,9,3780,0.8,0.590617284
0,3.9,8,960,0.7,0.5565625
30,27.48,57,6840,0.5,0.550403509
30,26.66,57,6840,0.5,0.550349708
23,26.66,58,6960,0.5,0.500258046
0,2.9,8,3360,0.7,0.410833333
0,2.9,8,960,0.75,0.4078125
0,4.6,8,3360,0.75,0.376597222
0,2.9,8,3360,0.75,0.271875
0,4.6,25,10500,0.8,0.936355556
0,4.6,8,3360,0.75,0.813611111
63,15.26,34,4080,0.8,0.800401961
56,29.4,57,6240,0.75,0.75075
45,18.79,33,3960,0.75,0.75065101
45,29.4,57,6840,0.75,0.750473684
34,18.79,52,6240,0.75,0.750395513
38,27.48,56,6720,0.6,0.707446429
30,21.82,52,5640,0.7,0.700236601
38,26.66,57,6840,0.6,0.700019883
0,30.33,58,1800,0.7,0.683550607
50,11.61,57,0,0.8,0.682433036
0,3.94,8,960,0.6,0.673083333
0,2.9,8,3360,0.7,0.664583333
23,26.66,57,6840,0.6,0.600239766
0,3.9,8,960,0.7,0.585
0,30.1,58,6960,0.8,0.579511494
0,3.94,8,3360,0.6,0.448722222
0,2.9,8,960,0.75,0.447083333
0,4.6,8,3360,0.8,0.350416667
0,3.9,10,1200,0.7,0.92885
0,4.6,24,10080,0.8,0.86037037
0,3.94,8,960,0.65,0.806879167
65,26.66,57,6840,0.65,0.800579532
63,15.26,34,4080,0.8,0.800401961
0,2.9,10,1200,0.75,0.8004
50,11.61,57,0,0.8,0.800309211
50,29.4,57,4680,0.8,0.800149813
0,30.1,59,7080,0.8,0.800115819
0,4.6,8,3360,0.75,0.773333333
34,18.79,33,2880,0.75,0.750797009
45,29.4,57,6840,0.75,0.750473684
45,18.79,52,6240,0.75,0.750395513
55,26.66,57,6780,0.65,0.750254867
34,27.48,56,6720,0.65,0.700903571
30,21.82,51,3600,0.7,0.70013604
0,2.9,8,3360,0.7,0.632361111
0,4.6,9,3780,0.8,0.607654321
0,3.94,8,3360,0.65,0.537919444
0,4.6,8,3360,0.8,0.342361111
0,4.6,10,4200,0.8,0.999533333
0,4.6,15,6300,0.8,0.902962963
50,11.41,56,0,0.8,0.800701754
60,26.66,58,6960,0.7,0.800566092
50,15.26,34,4080,0.8,0.800401961
50,29.4,57,6840,0.8,0.800333333
50,30.1,59,7080,0.8,0.800115819
50,26.66,58,6960,0.7,0.750770115
56,29.4,57,6840,0.75,0.750473684
34,18.79,52,6240,0.75,0.750395513
45,20.2,33,3120,0.75,0.750212553
0,4.6,8,3360,0.75,0.702777778
30,27.48,57,6840,0.7,0.700659649
30,21.82,51,5040,0.7,0.699984417
0,4.6,9,3780,0.8,0.636049383
0,3.9,15,6300,0.4,0.567377778
0,3.94,8,3360,0.7,0.555430556
0,3.94,8,3360,0.7,0.555430556
0,2.9,8,3360,0.7,0.463194444
0,4.6,8,3360,0.7,0.354444444
0,2.9,8,3360,0.75,0.309333333
0,15.28,45,5400,0.4,0.30277037
0,4.6,10,1200,0.8,0.939166667
0,4.6,8,960,0.8,0.930416667
0,4.6,9,1080,0.8,0.885925926
0,2.9,8,960,0.75,0.83375
0,3.94,8,960,0.7,0.806879167
0,3.94,8,960,0.7,0.806058333
38,11.41,56,0,0.8,0.800701754
50,15.26,34,4080,0.8,0.800401961
63,29.4,57,6840,0.8,0.800333333
50,30.1,59,3960,0.8,0.800055762
60,26.82,58,6960,0.7,0.799975862
50,26.82,58,6960,0.7,0.750651724
34,18.79,52,6240,0.75,0.750395513
40,27.48,58,6960,0.7,0.700424138
30,21.82,53,5760,0.7,0.700058333
0,4.6,20,8400,0.8,0.684888889
0,4.6,8,960,0.7,0.592083333
0,3.9,8,960,0.5,0.5403125
0,29.4,57,6840,0.8,0.433263158
0,15.28,46,5520,0.5,0.404144928
0,18.79,33,3960,0.75,0.332146465
0,4.6,22,2640,0.8,0.980984848
0,3.9,8,960,0.6,0.950625
0,2.9,10,1200,0.8,0.927291667
0,4.6,9,1080,0.8,0.868888889
0,3.94,8,960,0.7,0.812625
0,3.94,8,960,0.7,0.812625
0,4.6,15,1800,0.8,0.810111111
50,11.41,56,3420,0.8,0.800701754
63,29.4,57,1800,0.8,0.800534979
50,15.26,34,4080,0.8,0.800401961
50,26.82,58,6960,0.7,0.750651724
45,18.79,52,6240,0.75,0.750395513
50,26.82,59,7080,0.7,0.750050847
40,27.48,58,6960,0.7,0.700424138
30,21.82,50,6000,0.7,0.700422
0,15.28,46,1320,0.6,0.600099145
0,2.9,8,960,0.75,0.453125
0,30.1,59,1200,0.8,0.366053523
0,22.53,39,2640,0.35,0.26369382
0,4.6,9,1080,0.8,0.868888889
75,15.26,34,4080,0.8,0.850520588
70,26.82,58,8160,0.7,0.850045
0,4.6,25,6000,0.8,0.825444444
0,3.94,10,2400,0.35,0.80575
60,26.82,58,6960,0.7,0.800746552
63,29.4,57,6840,0.8,0.800578947
50,11.41,58,3420,0.8,0.800034503
0,2.9,8,960,0.5,0.7975
45,18.79,51,3480,0.75,0.749987124
30,21.82,50,6000,0.7,0.700422
0,3.94,8,960,0.7,0.664875
0,3.94,8,960,0.7,0.664875
0,2.9,8,960,0.8,0.657083333
0,16.1,45,4200,0.65,0.65024031
0,4.6,15,3600,0.8,0.590740741
0,3.9,8,1920,0.65,0.528125
0,23.41,39,2280,0.5,0.500528095
24,27.48,58,6960,0.7,0.408960345
0,4.6,12,1440,0.8,0.951944444
0,4.6,9,1080,0.8,0.945555556
0,2.9,9,1080,0.75,0.929074074
0,3.94,8,960,0.75,0.890604167
0,3.94,8,960,0.75,0.890604167
0,3.9,10,1200,0.7,0.884
0,3.94,8,960,0.5,0.857916667
65,26.82,57,6840,0.75,0.850084211
65,26.82,58,6960,0.75,0.85007069
50,30.1,57,3360,0.8,0.800511068
63,15.26,34,4080,0.8,0.800401961
50,11.41,58,3420,0.8,0.800034503
0,2.9,8,960,0.8,0.755208333
45,18.79,52,5640,0.75,0.750371895
30,21.82,50,6000,0.7,0.700422
30,16.1,45,4800,0.7,0.700106061
23,23.41,38,2520,0.6,0.601037091
0,30.48,56,6720,0.6,0.600528571
23,26.82,59,7080,0.5,0.500033898
0,3.9,8,960,0.6,0.4509375
0,2.9,8,960,0.7,0.441041667
0,2.9,8,960,0.6,0.271875
960,2.9,8,0,0.8,0.960625
1080,4.6,9,0,0.8,0.902962963
2880,3.94,12,0,0.6,0.864342593
65,26.82,58,7020,0.75,0.850446154
65,26.82,59,7140,0.75,0.850426891
3600,2.9,15,0,0.75,0.841
50,30.1,58,5160,0.8,0.800842424
63,15.26,34,4080,0.8,0.800401961
50,11.41,58,3420,0.8,0.800034503
1440,4.6,12,0,0.8,0.795416667
960,3.94,8,0,0.75,0.7953875
960,3.94,8,0,0.75,0.794566667
45,18.79,52,6240,0.75,0.750395513
30,16.1,45,5520,0.7,0.700516224
30,21.82,50,6000,0.7,0.700422
1200,3.9,10,0,0.7,0.6825
35,23.41,38,4560,0.65,0.650962281
26,30.48,56,6720,0.65,0.650421429
23,26.82,59,7080,0.6,0.600040678
0,30.48,55,6600,0.5,0.500610909
960,2.9,8,0,0.7,0.477291667
960,3.9,8,0,0.65,0.2640625
0,4.6,9,1080,0.8,0.92
0,3.94,12,1440,0.6,0.909391667
75,26.82,59,7080,0.75,0.900061017
0,4.6,12,1440,0.8,0.894444444
0,3.94,8,960,0.75,0.881575
0,3.94,8,960,0.75,0.880754167
65,26.82,59,5880,0.75,0.850084211
0,2.9,15,1800,0.75,0.821666667
63,15.26,34,4080,0.8,0.800401961
63,30.1,58,6960,0.8,0.800071839
50,11.41,58,3420,0.8,0.800034503
0,2.9,8,960,0.8,0.758229167
34,21.82,50,6000,0.75,0.750608
45,18.79,52,6240,0.75,0.750395513
0,3.9,8,960,0.7,0.741
30,30.48,57,6840,0.7,0.700505263
30,23.41,38,4560,0.7,0.700246491
40,16.1,45,5400,0.7,0.700051852
26,26.82,59,7080,0.65,0.650044068
25,30.48,57,6840,0.6,0.630402924
0,3.9,8,960,0.65,0.560625
0,3.9,8,960,0.5,0.560625
0,2.9,8,960,0.7,0.39875
0,4.6,9,2160,0.8,0.922839506
0,2.9,10,2400,0.8,0.874027778
0,3.9,8,1920,0.75,0.819270833
0,3.94,8,1920,0.75,0.813309028
0,3.94,8,1920,0.75,0.812625
63,15.26,34,4080,0.8,0.800401961
63,30.1,58,6960,0.8,0.800071839
50,11.41,58,3420,0.8,0.800034503
0,4.6,8,1920,0.8,0.786631944
0,3.94,12,1440,0.7,0.75885
34,21.82,50,6000,0.75,0.750608
45,18.79,52,5040,0.75,0.750347333
45,16.1,45,5400,0.75,0.750140741
45,26.82,59,7080,0.75,0.750050847
45,26.82,59,7080,0.75,0.750050847
30,26.82,58,6960,0.7,0.700556897
30,30.48,57,6840,0.7,0.700505263
40,23.41,38,4560,0.7,0.700246491
26,30.48,57,6840,0.65,0.650596491
0,2.9,8,960,0.75,0.628333333
0,3.9,8,960,0.7,0.625625
0,3.9,8,960,0.65,0.625625
0,2.9,15,1800,0.75,0.505888889
0,2.9,6,720,0.7,0.394722222
