wip,over_time,incentive,idle_time,idle_men,actual_productivity
1057,0,40,0,0,0.700603448
1587,4560,30,0,0,0.70009573
,960,0,0,0,0.671875
,960,0,0,0,0.64025
,960,0,0,0,0.58
,960,0,0,0,0.549791667
868,6840,0,0,0,0.328131579
1119,5640,0,8,35,0.303574468
,960,0,0,0,0.2565
962,4560,0,4.5,30,0.251399254
,2880,0,0,0,0.81640625
1126,1080,38,0,0,0.800711494
265,3840,63,0,0,0.800470513
859,7020,63,0,0,0.800094017
276,600,63,3.5,15,0.799982853
,4320,0,0,0,0.785864198
899,3960,56,0,0,0.75065101
,2400,0,0,0,0.733277778
,3600,0,0,0,0.710125
247,6960,50,0,0,0.700603448
653,3480,30,0,0,0.700540441
1116,6240,0,0,0,0.7
,1920,0,0,0,0.684027778
,1920,0,0,0,0.672135417
1603,6120,30,0,0,0.638614379
,1920,0,0,0,0.631354167
444,0,0,5,20,0.611140537
,2160,0,0,0,0.609583333
841,6840,0,0,0,0.585315789
1410,5760,0,0,0,0.249416667
,1800,0,0,0,0.8721
,960,0,0,0,0.8319375
,4800,0,0,0,0.8300625
,2880,0,0,0,0.805555556
1103,4080,63,0,0,0.800401961
922,5820,63,0,0,0.80000295
,2400,0,0,0,0.78375
,2400,0,0,0,0.753525
1055,3960,45,0,0,0.75065101
,2880,0,0,0,0.727349537
1146,6840,40,0,0,0.700614035
746,6840,0,0,0,0.700605263
834,3480,0,0,0,0.672140805
1717,3240,30,0,0,0.627011183
1041,8160,33,0,0,0.626577778
1531,6000,0,0,0,0.456875
627,6960,0,3.5,20,0.393548851
,960,0,0,0,0.385791667
450,5700,0,4.5,25,0.307501459
,960,0,0,0,0.283958333
,2400,0,0,0,0.955791667
,960,0,0,0,0.930416667
,1080,0,0,0,0.9025
,2160,0,0,0,0.87115
1060,4080,63,0,0,0.800401961
891,7140,38,0,0,0.800137255
541,7140,38,0,0,0.800137255
709,6960,45,0,0,0.750770115
1100,3960,45,0,0,0.75065101
826,2820,0,0,0,0.750293939
577,2160,30,0,0,0.700623
1094,6840,40,0,0,0.700614035
1228,6960,30,0,0,0.700362069
1641,6000,40,0,0,0.60128
1583,6000,0,0,0,0.417916667
,960,0,0,0,0.3715625
,960,0,0,0,0.3715625
,960,0,0,0,0.36871875
,960,0,0,0,0.356458333
,1800,0,0,0,0.902222222
,1440,0,0,0,0.811388889
1062,4080,50,0,0,0.800401961
450,7140,50,0,0,0.800137255
901,6480,50,0,0,0.800071839
,960,0,0,0,0.791458333
739,5640,45,0,0,0.750727326
913,3360,45,0,0,0.75065101
698,3360,34,0,0,0.750437269
1172,5340,45,0,0,0.750176991
,1800,0,0,0,0.726933333
,1800,0,0,0,0.726933333
408,1680,30,0,0,0.700623
1079,4560,40,0,0,0.700518519
1068,3000,30,0,0,0.700256795
,960,0,0,0,0.5046875
1834,6360,0,0,0,0.471108491
,960,0,0,0,0.325
708,5040,0,0,0,0.268214286
1085,6240,56,0,0,0.970816667
,1080,0,0,0,0.902962963
,2400,0,0,0,0.900833333
,1800,0,0,0,0.899555556
,1200,0,0,0,0.845833333
323,4080,50,0,0,0.800808642
1053,4080,50,0,0,0.800401961
786,7080,50,0,0,0.800115819
1003,3960,45,0,0,0.75065101
635,3360,45,0,0,0.750503571
1283,6960,45,0,0,0.750206897
847,6960,30,0,0,0.700362069
361,3960,30,0,0,0.700069811
1653,6240,0,0,0,0.700058333
,960,0,0,0,0.676666667
,960,0,0,0,0.658541667
15,1200,49,0,0,0.598792339
762,5040,0,0,0,0.581130952
,960,0,0,0,0.440375
,960,0,0,0,0.410833333
,960,0,0,0,0.410833333
,6300,0,0,0,0.921703704
,7560,0,0,0,0.921604938
694,4080,50,0,0,0.800808642
816,2820,50,0,0,0.800516667
1065,4080,63,0,0,0.800401961
,3360,0,0,0,0.768847222
912,3960,45,0,0,0.75065101
1244,6840,45,0,0,0.750473684
1020,5640,45,0,0,0.750371895
916,6960,56,0,0,0.750206897
1591,3240,0,0,0,0.700251773
398,6960,0,0,0,0.66237931
,3780,0,0,0,0.590617284
,960,0,0,0,0.5565625
437,7080,32,0,0,0.495617514
413,6840,38,0,0,0.449964912
,3360,0,0,0,0.410833333
,960,0,0,0,0.4078125
1164,6600,23,0,0,0.378895152
,3360,0,0,0,0.376597222
,3360,0,0,0,0.271875
,6300,0,0,0,0.921703704
,7560,0,0,0,0.921604938
954,0,50,0,0,0.800779018
1194,1700,62,0,0,0.800260821
644,840,38,0,0,0.799982853
,3360,0,0,0,0.768847222
1144,4440,45,0,0,0.750716981
1012,3960,45,0,0,0.75065101
792,4560,56,0,0,0.750425926
841,6240,45,0,0,0.750395513
1448,6120,40,0,0,0.700236601
512,4560,0,0,0,0.700211111
,3780,0,0,0,0.590617284
,960,0,0,0,0.5565625
609,6840,30,0,0,0.550403509
1448,6840,30,0,0,0.550349708
556,6960,23,0,0,0.500258046
,3360,0,0,0,0.410833333
,960,0,0,0,0.4078125
,3360,0,0,0,0.376597222
,3360,0,0,0,0.271875
,10500,0,0,0,0.936355556
,3360,0,0,0,0.813611111
1106,4080,63,0,0,0.800401961
622,6240,56,0,0,0.75075
1193,3960,45,0,0,0.75065101
1143,6840,45,0,0,0.750473684
895,6240,34,0,0,0.750395513
549,6720,38,0,0,0.707446429
1393,5640,30,0,0,0.700236601
1578,6840,38,0,0,0.700019883
254,1800,0,0,0,0.683550607
347,0,50,4,20,0.682433036
,960,0,0,0,0.673083333
,3360,0,0,0,0.664583333
692,6840,23,0,0,0.600239766
,960,0,0,0,0.585
934,6960,0,3.5,15,0.579511494
,3360,0,0,0,0.448722222
,960,0,0,0,0.447083333
,3360,0,0,0,0.350416667
,1200,0,0,0,0.92885
,10080,0,0,0,0.86037037
,960,0,0,0,0.806879167
1527,6840,65,0,0,0.800579532
1035,4080,63,0,0,0.800401961
,1200,0,0,0,0.8004
632,0,50,0,0,0.800309211
1231,4680,50,0,0,0.800149813
616,7080,0,0,0,0.800115819
,3360,0,0,0,0.773333333
947,2880,34,0,0,0.750797009
551,6840,45,0,0,0.750473684
935,6240,45,0,0,0.750395513
832,6780,55,0,0,0.750254867
544,6720,34,0,0,0.700903571
1511,3600,30,0,0,0.70013604
,3360,0,0,0,0.632361111
,3780,0,0,0,0.607654321
,3360,0,0,0,0.537919444
,3360,0,0,0,0.342361111
,4200,0,0,0,0.999533333
,6300,0,0,0,0.902962963
601,0,50,0,0,0.800701754
1562,6960,60,0,0,0.800566092
983,4080,50,0,0,0.800401961
1156,6840,50,0,0,0.800333333
29,7080,50,0,0,0.800115819
950,6960,50,0,0,0.750770115
534,6840,56,0,0,0.750473684
1096,6240,34,0,0,0.750395513
402,3120,45,0,0,0.750212553
,3360,0,0,0,0.702777778
573,6840,30,0,0,0.700659649
1313,5040,30,0,0,0.699984417
,3780,0,0,0,0.636049383
,6300,0,0,0,0.567377778
,3360,0,0,0,0.555430556
,3360,0,0,0,0.555430556
,3360,0,0,0,0.463194444
,3360,0,0,0,0.354444444
,3360,0,0,0,0.309333333
157,5400,0,6.5,30,0.30277037
,1200,0,0,0,0.939166667
,960,0,0,0,0.930416667
,1080,0,0,0,0.885925926
,960,0,0,0,0.83375
,960,0,0,0,0.806879167
,960,0,0,0,0.806058333
433,0,38,0,0,0.800701754
961,4080,50,0,0,0.800401961
1169,6840,63,0,0,0.800333333
874,3960,50,0,0,0.800055762
1028,6960,60,0,0,0.799975862
1772,6960,50,0,0,0.750651724
1206,6240,34,0,0,0.750395513
586,6960,40,0,0,0.700424138
1334,5760,30,0,0,0.700058333
,8400,0,0,0,0.684888889
,960,0,0,0,0.592083333
,960,0,0,0,0.5403125
30,6840,0,0,0,0.433263158
261,5520,0,0,0,0.404144928
52,3960,0,0,0,0.332146465
,2640,0,0,0,0.980984848
,960,0,0,0,0.950625
,1200,0,0,0,0.927291667
,1080,0,0,0,0.868888889
,960,0,0,0,0.812625
,960,0,0,0,0.812625
,1800,0,0,0,0.810111111
455,3420,50,0,0,0.800701754
797,1800,63,0,0,0.800534979
959,4080,50,0,0,0.800401961
1373,6960,50,0,0,0.750651724
1228,6240,45,0,0,0.750395513
1117,7080,50,0,0,0.750050847
230,6960,40,0,0,0.700424138
1390,6000,30,0,0,0.700422
529,1320,0,0,0,0.600099145
,960,0,0,0,0.453125
834,1200,0,4,40,0.366053523
1450,2640,0,0,0,0.26369382
,1080,0,0,0,0.868888889
986,4080,75,0,0,0.850520588
1267,8160,70,0,0,0.850045
,6000,0,0,0,0.825444444
,2400,0,0,0,0.80575
1195,6960,60,0,0,0.800746552
983,6840,63,0,0,0.800578947
471,3420,50,0,0,0.800034503
,960,0,0,0,0.7975
1226,3480,45,0,0,0.749987124
1251,6000,30,0,0,0.700422
,960,0,0,0,0.664875
,960,0,0,0,0.664875
,960,0,0,0,0.657083333
626,4200,0,0,0,0.65024031
,3600,0,0,0,0.590740741
,1920,0,0,0,0.528125
1379,2280,0,0,0,0.500528095
541,6960,24,0,0,0.408960345
,1440,0,0,0,0.951944444
,1080,0,0,0,0.945555556
,1080,0,0,0,0.929074074
,960,0,0,0,0.890604167
,960,0,0,0,0.890604167
,1200,0,0,0,0.884
,960,0,0,0,0.857916667
1082,6840,65,0,0,0.850084211
1254,6960,65,0,0,0.85007069
1278,3360,50,0,0,0.800511068
1064,4080,63,0,0,0.800401961
313,3420,50,0,0,0.800034503
,960,0,0,0,0.755208333
1239,5640,45,0,0,0.750371895
1335,6000,30,0,0,0.700422
928,4800,30,0,0,0.700106061
1266,2520,23,0,0,0.601037091
869,6720,0,0,0,0.600528571
711,7080,23,0,0,0.500033898
,960,0,0,0,0.4509375
,960,0,0,0,0.441041667
,960,0,0,0,0.271875
,0,960,0,0,0.960625
,0,1080,0,0,0.902962963
,0,2880,0,0,0.864342593
1079,7020,65,0,0,0.850446154
1322,7140,65,0,0,0.850426891
,0,3600,0,0,0.841
964,5160,50,0,0,0.800842424
1132,4080,63,0,0,0.800401961
357,3420,50,0,0,0.800034503
,0,1440,0,0,0.795416667
,0,960,0,0,0.7953875
,0,960,0,0,0.794566667
1193,6240,45,0,0,0.750395513
817,5520,30,0,0,0.700516224
1576,6000,30,0,0,0.700422
,0,1200,0,0,0.6825
1262,4560,35,0,0,0.650962281
953,6720,26,0,0,0.650421429
919,7080,23,0,0,0.600040678
1161,6600,0,0,0,0.500610909
,0,960,0,0,0.477291667
,0,960,0,0,0.2640625
,1080,0,0,0,0.92
,1440,0,0,0,0.909391667
1574,7080,75,0,0,0.900061017
,1440,0,0,0,0.894444444
,960,0,0,0,0.881575
,960,0,0,0,0.880754167
1104,5880,65,0,0,0.850084211
,1800,0,0,0,0.821666667
1069,4080,63,0,0,0.800401961
756,6960,63,0,0,0.800071839
338,3420,50,0,0,0.800034503
,960,0,0,0,0.758229167
1499,6000,34,0,0,0.750608
1247,6240,45,0,0,0.750395513
,960,0,0,0,0.741
923,6840,30,0,0,0.700505263
1180,4560,30,0,0,0.700246491
957,5400,40,0,0,0.700051852
1001,7080,26,0,0,0.650044068
1017,6840,25,0,0,0.630402924
,960,0,0,0,0.560625
,960,0,0,0,0.560625
,960,0,0,0,0.39875
,2160,0,0,0,0.922839506
,2400,0,0,0,0.874027778
,1920,0,0,0,0.819270833
,1920,0,0,0,0.813309028
,1920,0,0,0,0.812625
470,4080,63,0,0,0.800401961
735,6960,63,0,0,0.800071839
560,3420,50,0,0,0.800034503
,1920,0,0,0,0.786631944
,1440,0,0,0,0.75885
1674,6000,34,0,0,0.750608
290,5040,45,0,0,0.750347333
971,5400,45,0,0,0.750140741
1322,7080,45,0,0,0.750050847
1054,7080,45,0,0,0.750050847
992,6960,30,0,0,0.700556897
914,6840,30,0,0,0.700505263
1128,4560,40,0,0,0.700246491
935,6840,26,0,0,0.650596491
,960,0,0,0,0.628333333
,960,0,0,0,0.625625
,960,0,0,0,0.625625
,1800,0,0,0,0.505888889
,720,0,0,0,0.394722222
